car_id,condition,mileage(kilometers),fuel_type,volume(cm3),color,transmission,drive_unit,segment,Model,company,date,price(USD)
0,2,319999.0,2,2200,4,1,1,3,138,5,1986,450
1,2,53000.0,2,1600,1,1,1,2,729,77,2016,9600
2,2,350000.0,2,2000,1,1,1,3,689,58,1992,1700
3,2,299709.0,2,1400,11,1,1,7,300,60,1997,205
4,2,110000.0,2,1800,10,1,1,7,998,60,2007,5300
5,2,182000.0,2,4700,2,0,0,8,814,52,2011,20500
6,2,300000.0,2,1800,3,1,1,3,927,60,1998,2800
7,2,273000.0,2,2500,4,1,3,4,117,7,1998,4100
8,2,320000.0,2,2000,3,1,1,4,120,61,1996,950
9,2,306500.0,2,1500,5,1,1,2,83,51,1998,1550
10,2,233248.0,0,1900,11,1,1,7,660,61,2003,3800
11,2,93000.0,2,1600,3,0,1,6,520,58,2013,12400
12,2,282200.0,2,2600,1,1,1,4,159,5,1996,3680
13,2,200.0,0,2700,0,0,1,4,160,5,2009,19000
14,2,0.0,0,1900,0,1,1,2,451,88,1992,704
15,2,355000.0,0,2500,1,1,1,7,899,88,2002,7600
16,2,350000.0,0,2000,10,1,1,3,96,61,2001,4400
17,2,94700.0,2,1600,10,0,1,1,164,34,2013,8050
18,2,410200.0,2,2000,11,1,1,3,662,88,1993,1770
19,2,9999.0,2,1300,10,1,1,3,189,60,1988,200
20,2,135000.0,2,2400,2,0,2,6,778,34,2011,13750
21,2,252000.0,0,1500,4,1,1,3,542,68,2011,8100
22,2,300000.0,2,1500,5,1,3,1,35,43,1999,500
23,2,300000.0,2,1800,11,1,3,3,90,7,1987,800
24,2,440000.0,2,4000,0,1,1,5,130,7,1994,4000
25,2,215000.0,0,2200,0,1,1,7,312,85,2006,7950
26,2,2457200.0,2,1600,7,1,1,2,451,88,1999,3350
27,2,95000.0,2,1500,10,0,1,3,581,14,2016,12700
28,2,110000.0,2,1500,0,1,1,3,602,28,2008,1300
29,2,340000.0,0,2200,0,1,3,3,283,52,1997,3500
30,2,180000.0,2,1400,9,1,1,1,499,75,2010,5500
31,2,380000.0,2,1800,0,1,3,3,90,7,1996,1950
32,2,320000.0,2,1800,5,1,1,3,96,61,1996,2100
33,2,287000.0,2,2000,9,1,1,7,431,25,1998,2500
34,2,111.0,0,2500,11,1,1,7,899,88,1997,6900
35,2,190000.0,0,2000,2,0,1,3,156,5,2009,10550
36,2,230000.0,0,3000,4,0,0,6,705,5,2008,19000
37,2,250000.0,2,1400,10,1,1,2,311,85,2008,7000
38,2,258620.0,0,2200,0,0,3,7,939,52,2010,19200
39,2,365000.0,2,1800,7,1,1,3,662,88,1990,1400
40,2,240000.0,2,1600,10,0,1,2,224,88,2005,6200
41,2,128000.0,2,1800,0,1,1,2,405,25,2010,5950
42,2,300000.0,2,1600,10,1,1,2,380,25,1998,500
43,2,390000.0,0,3000,10,1,3,4,360,52,1991,3000
44,2,300000.0,0,1900,7,1,1,1,698,24,2000,950
45,2,220000.0,2,3000,11,0,1,3,118,51,2005,4490
46,2,320000.0,2,1800,5,1,1,2,451,88,1997,2400
47,2,187000.0,0,1461,0,1,1,7,785,68,2015,10000
48,2,200000.0,2,1800,4,1,1,2,405,25,2008,6250
49,2,239000.0,2,1600,9,1,1,3,689,58,1998,1300
50,2,213284.0,2,1800,0,1,3,3,283,52,1996,1400
51,2,300000.0,0,3200,10,0,2,6,654,56,2008,15000
52,2,327000.0,2,1600,1,1,1,2,191,60,1998,990
53,2,118.0,2,1600,11,0,0,6,379,25,2012,11000
54,2,302000.0,2,1600,10,1,1,2,84,51,1995,1600
55,2,265000.0,0,1600,9,1,1,2,642,77,2009,7600
56,2,255000.0,2,1800,10,1,1,2,583,24,1997,999
57,2,45000.0,2,1600,0,1,1,1,568,68,2017,8199
58,2,100.0,2,1300,7,1,3,1,32,43,1982,450
59,2,242000.0,0,3000,0,0,3,5,130,7,2010,21200
60,2,337500.0,2,1800,5,1,1,3,662,88,1997,3350
61,2,248000.0,0,2500,10,1,1,4,159,5,2001,6655
62,2,217565.0,2,1800,7,0,1,0,103,70,2005,3300
63,2,532794.0,0,2200,11,1,3,4,360,52,1995,3800
64,1,326.0,0,1800,10,1,1,3,613,25,1997,350
65,2,150000.0,2,6300,0,0,3,8,815,52,2009,19000
66,2,355000.0,0,2200,0,1,1,7,134,61,2004,5800
67,2,330000.0,0,2000,0,1,3,4,117,7,2000,3999
68,2,225000.0,2,2400,1,0,1,6,778,34,2004,4700
69,2,175.0,2,1595,10,1,1,2,642,77,2009,7400
70,2,100000.0,2,1400,9,1,1,2,269,42,2012,8100
71,2,390000.0,2,1600,4,1,3,3,90,7,1994,2250
72,2,139000.0,2,1800,10,1,1,7,998,60,2010,9300
73,2,64000.0,2,1400,1,1,1,1,568,17,2007,3600
74,2,330000.0,0,1900,1,1,1,3,156,5,2002,6500
75,2,152000.0,0,2200,0,0,2,6,778,34,2014,18700
76,0,200000.0,0,2000,11,1,1,2,221,58,1986,300
77,2,184000.0,0,2000,10,1,1,3,662,88,2007,5229
78,2,300000.0,2,1300,1,1,1,7,991,85,1999,2400
79,2,300000.0,0,2000,10,1,1,3,118,51,2003,4500
80,2,232000.0,2,1800,10,1,1,2,543,56,2008,6900
81,2,230000.0,0,3200,7,0,3,8,814,52,2006,11890
82,2,350000.0,0,2000,1,1,1,3,970,16,2001,1750
83,2,60205.0,2,1600,10,1,2,3,942,81,2015,13950
84,2,240000.0,2,1600,1,1,1,7,785,68,2003,4200
85,2,155000.0,2,1600,10,0,1,2,191,60,2007,5900
86,2,232900.0,2,1400,5,1,1,2,73,61,1993,1150
87,2,123123.0,2,1300,9,1,1,2,451,88,1989,450
88,2,176000.0,2,2000,7,1,1,3,423,33,2005,7250
89,2,285000.0,0,1900,10,1,1,3,662,88,2006,5500
90,2,207604.86,2,3500,7,0,0,3,427,35,2003,8499
91,2,380000.0,2,2300,10,1,1,4,0,5,1985,400
92,2,72000.0,2,1400,4,0,0,3,368,9,2014,11300
93,2,318000.0,2,1800,4,1,1,2,122,51,1990,450
94,2,260000.0,0,2900,1,1,2,6,865,34,2004,8000
95,2,380000.0,0,2200,10,1,1,3,927,60,2003,4200
96,2,400000.0,2,1800,10,1,1,4,0,5,1990,972
97,2,555555.0,0,1900,11,1,1,3,662,88,1994,2350
98,2,290000.0,0,2700,4,0,0,6,344,45,2006,10500
99,2,1234567.0,2,1800,0,1,1,4,0,5,1986,1100
100,2,205.0,2,1500,4,1,1,1,46,43,2007,1600
101,2,128000.0,2,2400,4,0,2,6,778,34,2014,19800
102,2,307000.0,0,3000,0,0,0,6,447,52,2008,15500
103,2,243000.0,0,2500,0,0,0,6,886,88,2008,13785
104,2,380000.0,0,3000,0,0,3,5,130,7,2004,9600
105,2,250000.0,0,2400,11,1,1,7,899,88,1994,6200
106,2,123600.0,2,2400,10,1,1,6,778,34,2010,12999
107,2,9000.0,2,1000,5,1,1,3,849,81,1995,400
108,0,300000.0,2,2000,5,0,3,4,644,60,1994,600
109,2,187000.0,2,1800,4,0,1,1,690,85,2011,11500
110,2,290000.0,2,1800,10,1,1,2,20,68,1992,550
111,2,300000.0,0,2200,0,1,1,4,360,52,2009,13200
112,2,450000.0,2,1989,0,1,1,2,451,88,1990,1200
113,2,1000.0,0,1900,3,1,1,7,785,68,1998,2400
114,2,82000.0,0,2200,0,0,0,6,443,52,2015,43732
115,2,443639.0,2,1800,9,1,1,3,131,5,1991,1135
